date,platform,product,system,campaign,cost,impressions,clicks,revenue,new_user_revenue,installs,purchase_events
2026-03-29,FB,,Unknown,0328_Customer Form,119.71,5756,1023,0,0,0,0
2026-03-29,FB,Doni,Android,0110_AEO_MCY_Doni,204.02,5069,289,0,0,0,0
2026-03-29,FB,Doni,Android,0119_AEO_MCY_Doni,68.05,1994,60,0,0,0,0
2026-03-29,FB,Doni,Android,0127-Doni-and-VO-zm1,364.45,5496,93,0,0,0,0
2026-03-29,FB,Doni,Android,0128_AEO_MCY_Doni,150.32,4117,139,0,0,0,0
2026-03-29,FB,Doni,Android,0203_AEO_MCY_Doni,142.51,4823,113,0,0,0,0
2026-03-29,FB,Doni,Android,0211_AEO_MCY_Doni,60.0,2364,46,0,0,0,0
2026-03-29,FB,Doni,Android,0212_AEO_MCY_Doni,69.09,2938,48,0,0,0,0
2026-03-29,FB,Doni,Android,0218_AEO_MCY_Doni,64.44,2368,44,0,0,0,0
2026-03-29,FB,Doni,Android,0219_AEO_MCY_Doni,166.91,4301,157,0,0,0,0
2026-03-29,FB,Doni,Android,026_ AEO_MCY_Doni,139.69,5045,101,0,0,0,0
2026-03-29,FB,Doni,Android,0305_ AEO_MCY_Doni,240.99,10737,255,0,0,0,0
2026-03-29,FB,Doni,Android,0316-地区测试-Doni-and-AEO-zm1,96.07,4938,64,0,0,0,0
2026-03-29,FB,Doni,Android,0319-Doni-and-VO-zm1,113.71,1557,15,0,0,0,0
2026-03-29,FB,Doni,Android,0319_ AEO_MCY_Doni,60.18,2890,87,0,0,0,0
2026-03-29,FB,Doni,Android,0326_ AEO_MCY_Doni,234.13,12985,224,0,0,0,0
2026-03-29,FB,Doni,Android,0327_ AEO_MCY_Doni,81.53,2520,79,0,0,0,0
2026-03-29,FB,Doni,Android,11.13-Doni-and-AAAAEO-zm1,298.17,9928,315,0,0,0,0
2026-03-29,FB,Doni,Android,11.14-Doni-and-AEO-zm1,461.46,10196,182,0,0,0,0
2026-03-29,FB,Doni,Android,11.16-Doni-and-AEO-zm1,94.04,2000,31,0,0,0,0
2026-03-29,FB,Doni,Android,11.28-Doni-and-AEO-zm1,359.16,21663,249,0,0,0,0
2026-03-29,FB,Doni,Android,1212_AEO_MCY_Doni,115.66,3071,56,0,0,0,0
2026-03-29,FB,Doni,Android,1213-Doni-and-AEO-zm1,168.24,4103,71,0,0,0,0
2026-03-29,FB,Doni,Android,20251219-Doni-and-aeo-cww-wcx,86.7,2463,48,0,0,0,0
2026-03-29,FB,Doni,Android,Doni And_syh_260306_AEO,1256.1,49931,1060,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and-zm1-260324-VO-FB,213.55,2670,38,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_cy1_20260325_VO_常规,178.02,3433,71,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_cy1_20260327_VO_最大,107.62,2045,41,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_dsk_20260317_aeo_定投,175.65,9722,204,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_wvv_20260324_vo_常规_,539.2,6198,135,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_wvv_20260329_aeo_aaa_,59.65,2929,70,0,0,0,0
2026-03-29,FB,Doni,Android,Doni and_wvv_20260329_vo_常规_,305.18,4104,113,0,0,0,0
2026-03-29,FB,Dora And,Android,0110-22-Dora-and-AEO-zm1,205.93,5923,89,0,0,0,0
2026-03-29,FB,Dora And,Android,0111-22-Dora-and-AEO-zm1,114.88,2644,45,0,0,0,0
2026-03-29,FB,Dora And,Android,0114_AEO_MCY_Dora,131.45,4709,81,0,0,0,0
2026-03-29,FB,Dora And,Android,0115-Dora-and-VO-zm1,237.11,3533,62,0,0,0,0
2026-03-29,FB,Dora And,Android,0118_AEO_MCY_Dora,63.29,2535,51,0,0,0,0
2026-03-29,FB,Dora And,Android,0120-11-Dora-and-AEO-zm1,1028.92,36201,432,0,0,0,0
2026-03-29,FB,Dora And,Android,0127-Dora-and-VO-zm1,240.91,9916,76,0,0,0,0
2026-03-29,FB,Dora And,Android,0210_AEO_MCY_Dora,86.77,3607,38,0,0,0,0
2026-03-29,FB,Dora And,Android,0211_AEO_MCY_Dora,137.56,5098,81,0,0,0,0
