date,product,athena_total_revenue,athena_new_user_revenue,xmp_cost
2026-03-30,Doni,19206.75,3230.09,8394.57
2026-03-30,Dora And,22902.69,3296.35,9357.23
2026-03-30,Dora iOS,29386.62,6410.76,12717.06
2026-03-30,GraceChat,4807.51,1190.6,2167.99
2026-03-30,Jovia And,9063.95,1097.7,3721.33
2026-03-30,Luma,7040.21,2364.31,4653.37
2026-03-30,Romi And,3298.11,912.74,2272.09
2026-03-30,Romi iOS,31466.76,7576.31,14555.41
2026-03-31,Doni,15648.96,2620.04,7374.87
2026-03-31,Dora And,19339.34,2823.76,6322.08
2026-03-31,Dora iOS,24435.83,4644.56,11375.26
2026-03-31,GraceChat,2869.36,593.36,1880.68
2026-03-31,Jovia And,6748.24,640.14,2504.93
2026-03-31,Luma,5763.97,2260.2,4309.78
2026-03-31,Romi And,3190.46,459.34,1043.6
2026-03-31,Romi iOS,21862.71,3288.67,10306.21
2026-04-01,Doni,19626.58,2540.75,8790.14
2026-04-01,Dora And,27729.02,4355.35,11303.26
2026-04-01,Dora iOS,30368.69,5618.14,14642.07
2026-04-01,GraceChat,4794.7,1170.71,2691.62
2026-04-01,Jovia And,8683.34,1244.69,3899.33
2026-04-01,Luma,6754.39,1566.08,3685.75
2026-04-01,Romi And,3706.83,260.59,1245.24
2026-04-01,Romi iOS,28770.69,5001.45,12723.07
2026-04-02,Doni,25388.38,3637.69,0
2026-04-02,Dora And,30357.99,4249.99,0
2026-04-02,Dora iOS,33317.47,6358.08,0
2026-04-02,GraceChat,4144.12,1117.09,0
2026-04-02,Jovia And,10312.16,868.95,0
2026-04-02,Luma,7227.47,2089.63,0
2026-04-02,Romi And,3729.98,300.55,0
2026-04-02,Romi iOS,30062.73,5100.34,0
2026-04-03,Doni,27681.43,3966.36,0
2026-04-03,Dora And,33397.14,5206.51,0
2026-04-03,Dora iOS,36982.42,8198.36,0
2026-04-03,GraceChat,7187.33,2225.99,0
2026-04-03,Jovia And,11125.76,1015.95,0
2026-04-03,Luma,7650.2,2297.16,0
2026-04-03,Romi And,4087.6,381.59,0
2026-04-03,Romi iOS,32383.33,5665.39,0
2026-04-04,Doni,28111.23,4498.16,0
2026-04-04,Dora And,31597.1,4668.73,0
2026-04-04,Dora iOS,39042.88,8062.71,0
2026-04-04,GraceChat,5152.59,1136.57,0
2026-04-04,Jovia And,9850.43,876.87,0
2026-04-04,Luma,8807.09,2368.06,0
2026-04-04,Romi And,3752.66,391.34,0
2026-04-04,Romi iOS,35414.52,7824.48,0
2026-04-05,Doni,26452.66,4383.87,0
2026-04-05,Dora And,33462.5,5593.79,0
2026-04-05,Dora iOS,39071.12,9900.91,0
2026-04-05,GraceChat,6349.51,1734.24,0
2026-04-05,Jovia And,9174.79,1396.44,0
2026-04-05,Luma,8989.04,3305.88,0
2026-04-05,Romi And,3941.57,470.26,0
2026-04-05,Romi iOS,33241.02,7769.33,0
2026-04-06,Doni,24354.48,4471.15,0
2026-04-06,Dora And,33484.65,6071.86,0
2026-04-06,Dora iOS,39382.36,10053.29,0
2026-04-06,GraceChat,5678.07,1726.1,0
2026-04-06,Jovia And,8884.36,1394.45,0
2026-04-06,Luma,7439.91,2120.19,0
2026-04-06,Romi And,4169.11,565.32,0
2026-04-06,Romi iOS,35437.69,8523.89,0
2026-04-07,Doni,24064.35,2832.88,0
2026-04-07,Dora And,32316.95,5143.46,0
2026-04-07,Dora iOS,42655.87,11261.02,0
2026-04-07,GraceChat,5091.87,1190.71,0
2026-04-07,Jovia And,9289,1024.61,0
2026-04-07,Luma,7884.34,2413.2,0
2026-04-07,Romi And,3300.48,283.64,0
2026-04-07,Romi iOS,34710.57,7929.96,0
2026-04-08,Doni,24062.71,3084.31,0
2026-04-08,Dora And,30587.67,4374.04,0
2026-04-08,Dora iOS,45377.54,12774.55,0
2026-04-08,GraceChat,4408.48,1101.72,0
2026-04-08,Jovia And,9371.84,1051.63,0
2026-04-08,Luma,7773.89,2177.16,0
2026-04-08,Romi And,3064.35,349.42,0
2026-04-08,Romi iOS,31878.76,7241.39,0
2026-04-09,Doni,24285.93,3182.79,0
2026-04-09,Dora And,32240.26,5111.64,0
2026-04-09,Dora iOS,46111.23,13376.64,0
2026-04-09,GraceChat,4625.91,1162.72,0
2026-04-09,Jovia And,8877.44,892.86,0
2026-04-09,Luma,7444.12,2018.59,0
2026-04-09,Romi And,3293.41,565.44,0
2026-04-09,Romi iOS,32573.95,6732.57,0
2026-04-11,Doni,29854.18,3913.42,0
2026-04-11,Dora And,35939.11,5171.22,0
2026-04-11,Dora iOS,59685.15,17038.95,0
2026-04-11,GraceChat,3776.41,707.35,0
2026-04-11,Jovia And,9265.76,686.01,0
2026-04-11,Luma,10018.35,2853.05,0
2026-04-11,Romi And,4014.49,512.24,0
2026-04-11,Romi iOS,39438.83,8418.47,0
2026-04-12,Doni,28822.43,5296.58,16943.573
2026-04-12,Dora And,36097.44,8419.44,23587.481
2026-04-12,Dora iOS,57894.69,18367.02,40922.46
2026-04-12,GraceChat,3781.97,575.23,1987.83
2026-04-12,Jovia And,9299.41,910.68,4915.295
2026-04-12,Luma,9247.82,1992.49,4639.49
2026-04-12,Romi And,3755.66,540.11,2136.955
2026-04-12,Romi iOS,40529.38,11533.17,22061.98
2026-04-13,Doni,26727.56,4849.61,0
2026-04-13,Dora And,31052.49,6356.82,0
2026-04-13,Dora iOS,59231.87,20540.71,0
2026-04-13,GraceChat,3595.13,967.23,0
2026-04-13,Jovia And,8568.91,649.09,0
2026-04-13,Luma,8913.78,2901.2,0
2026-04-13,Romi And,3500.86,851.9,0
2026-04-13,Romi iOS,35855,9537.59,0
2026-04-14,Doni,25668.73,4749.89,16707.399
2026-04-14,Dora And,25780.91,4022.84,17070.787
2026-04-14,Dora iOS,48351.96,11435.17,25064.35
2026-04-14,GraceChat,2344.09,485.62,804.32
2026-04-14,Jovia And,7434.8,717.04,3194.983
2026-04-14,Kira,403.47,91.83,0
2026-04-14,Kira And,9.99,0,108.92
2026-04-14,Kira iOS,0,0,277.05
2026-04-14,Luma,8901.26,2498.81,5391.81
2026-04-14,Romi And,2744.69,294.45,1584.683
2026-04-14,Romi iOS,33573.42,7890.7,19575.69
2026-04-15,Doni,28327.44,3911.16,15858.995
2026-04-15,Dora And,30273.45,4728.4,17596.887
2026-04-15,Dora iOS,56023.84,14016.62,32270.79
2026-04-15,GraceChat,3948.51,803.37,1680.52
2026-04-15,Jovia And,9642.35,721.92,3215.841
2026-04-15,Kira And,81.96,81.96,80.14
2026-04-15,Kira iOS,1054.46,539.26,1202.25
2026-04-15,Luma,10551.35,2859.5,6476.24
2026-04-15,Romi And,3393.31,442.41,1442.916
2026-04-15,Romi iOS,37046.99,7003.99,18464.59
2026-04-16,Doni,30808.22,3657.54,16312.252
2026-04-16,Dora And,31042.18,3796.76,17245.591
2026-04-16,Dora iOS,53496.45,14000.8,35152.18
2026-04-16,GraceChat,4409.93,1014.87,2026.45
2026-04-16,Jovia And,9246.02,584.13,3318.757
2026-04-16,Kira And,49.96,49.96,80.05
2026-04-16,Kira iOS,1354.15,509.29,1494.14
2026-04-16,Luma,10314.7,2853.41,5376.53
2026-04-16,Romi And,3267.42,362.48,1390.187
2026-04-16,Romi iOS,38457.36,7498.55,17444.529
2026-04-17,Doni,31666.97,3840.83,17541.169
2026-04-17,Dora And,32309.28,4573.46,17386.724
2026-04-17,Dora iOS,57592.05,12780.42,28385
2026-04-17,GraceChat,4343.81,709.31,1888.4
2026-04-17,Jovia And,10003.71,824.21,3115.207
2026-04-17,Kira And,280.82,266.84,168.057
2026-04-17,Kira iOS,1568.09,763.11,1918.63
2026-04-17,Luma,11234.68,3654.81,8575.95
2026-04-17,Romi And,3787.8,495.29,1522.555
2026-04-17,Romi iOS,41162.89,8890.05,18358.789
2026-04-18,Doni,35648.68,5408.33,17664.389
2026-04-18,Dora And,34345.08,4671.42,16366.361
2026-04-18,Dora iOS,54353.28,12336.23,25188.74
2026-04-18,GraceChat,3684.5,541.45,1671.47
2026-04-18,Jovia And,9371.06,813.26,2656.172
2026-04-18,Kira And,1148.83,1025.02,813.624
2026-04-18,Kira iOS,1847.67,946.79,2074.61
2026-04-18,Luma,13113.35,4274.72,8854.13
2026-04-18,Romi And,3864.03,491.6,1438.757
2026-04-18,Romi iOS,42854.93,9793.31,20018.01
2026-04-19,Doni,33870.58,5209.58,18670.269
2026-04-19,Dora And,34349.56,5615.81,19587.548
2026-04-19,Dora iOS,53901.44,14140.76,26706.64
2026-04-19,GraceChat,3798.23,1056.87,2179.34
2026-04-19,Jovia And,8487.55,642.08,3270.91
2026-04-19,Kira And,1611.07,1069.72,960.858
2026-04-19,Kira iOS,2431.16,1078.78,2408.24
2026-04-19,Luma,12675.79,4755.96,8665.8
2026-04-19,Romi And,3515.24,412.43,1304.989
2026-04-19,Romi iOS,42358.3,9777.52,19557.85
2026-04-20,Doni,30150.15,4391.73,18376.431
2026-04-20,Dora And,28612.69,4131.18,15534.467
2026-04-20,Dora iOS,49895.36,12842.54,24798.49
2026-04-20,GraceChat,3489.06,857.33,1529.91
2026-04-20,Jovia And,7740.46,683.09,2922.22
2026-04-20,Kira And,1635.37,685.21,951.01
2026-04-20,Kira iOS,1945.9,581.23,1795.44
2026-04-20,Luma,12048.1,3826.84,7664.69
2026-04-20,Romi And,2871.76,448.46,1156.085
2026-04-20,Romi iOS,38727.27,10664.47,20807.4
2026-04-21,Doni,29533.06,4155.36,16230.876
2026-04-21,Dora And,27853.76,4157.97,15885.64
2026-04-21,Dora iOS,46852.27,11072.02,24483.24
2026-04-21,GraceChat,3336.78,695.42,1334.15
2026-04-21,Jovia And,6669.15,522.2,2563.412
2026-04-21,Kira And,2380.23,1171.53,2138.141
2026-04-21,Kira iOS,1545.82,575.02,2177.29
2026-04-21,Luma,11605.91,3726.64,7408.35
2026-04-21,Romi And,3016.43,466.35,901.437
2026-04-21,Romi iOS,36325.24,8340.96,18738.8
2026-04-22,Doni,31523.66,4663.07,16688.858
2026-04-22,Dora And,28757.66,3296.43,15071.168
2026-04-22,Dora iOS,49834.07,11462.87,26488.65
2026-04-22,GraceChat,4722.03,805.13,1477.26
2026-04-22,Jovia And,7257.46,724.23,2431.327
2026-04-22,Kira And,3608.27,1707.04,2962.474
2026-04-22,Kira iOS,1390.21,138.87,0.11
2026-04-22,Luma,13890.84,4675.82,8865.95
2026-04-22,Romi And,2883.74,269.63,473.451
2026-04-22,Romi iOS,39247.62,9534.76,18592.53
2026-04-23,Doni,30190.44,3417.55,14447.58
2026-04-23,Dora And,29143.75,3028.36,14357.584
2026-04-23,Dora iOS,49280.7,9701.09,23838.51
2026-04-23,GraceChat,3636.81,537.52,1627.09
2026-04-23,Jovia And,7818.2,286.57,1799.88
2026-04-23,Kira And,4391.45,1664.02,3836.809
2026-04-23,Kira iOS,1240.45,119.92,0
2026-04-23,Luma,13931.45,4615.05,10902.99
2026-04-23,Romi And,2849.91,184.78,523.536
2026-04-23,Romi iOS,40320.49,7759.85,17710.67
2026-04-24,Doni,34734.86,4317.25,14404.481
2026-04-24,Dora And,31197.23,3794.92,15660.989
2026-04-24,Dora iOS,48670.59,11068.26,28606.43
2026-04-24,GraceChat,3776.65,779.39,1995.28
2026-04-24,Jovia And,7623.77,352.4,2489.678
2026-04-24,Kira And,5574.31,1827.65,3934.656
2026-04-24,Kira iOS,1293.6,9.99,0
2026-04-24,Luma,16751.1,5541.71,13732.84
2026-04-24,Romi And,3136.86,395.6,547.045
2026-04-24,Romi iOS,43160.63,8863.62,18692.37
2026-04-25,Doni,30639.59,3589.11,13464.448
2026-04-25,Dora And,28399.01,3862.46,15689.336
2026-04-25,Dora iOS,49895.09,10389.03,23807.29
2026-04-25,GraceChat,3846.76,475.45,1600.18
2026-04-25,Jovia And,6348.94,400.4,2197.231
2026-04-25,Kira And,5992.79,1790.74,3569.43
2026-04-25,Kira iOS,854.08,19.99,0
2026-04-25,Luma,16292.34,5285.03,13300.31
2026-04-25,Romi And,2764,310.61,767.832
2026-04-25,Romi iOS,40506.53,8514.22,15970.91
2026-04-26,Doni,30133.07,4789.42,0
2026-04-26,Dora And,29105.6,4496.23,0
2026-04-26,Dora iOS,49133.9,13103.18,0
2026-04-26,GraceChat,3217.2,749.32,0
2026-04-26,Jovia And,6661.71,512.24,0
2026-04-26,Kira And,5431.25,1816.89,0
2026-04-26,Kira iOS,718.27,0,0
2026-04-26,Luma,16272.51,5260.78,0
2026-04-26,Romi And,2483.36,265.7,0
2026-04-26,Romi iOS,38170.66,9478.9,0
2026-04-27,Doni,30550.45,4919.86,0
2026-04-27,Dora And,25420.94,3907.75,0
2026-04-27,Dora iOS,48920.69,12855.68,0
2026-04-27,GraceChat,3910.69,911.15,0
2026-04-27,Jovia And,5678.85,567.32,0
2026-04-27,Kira And,5814.79,2181.47,0
2026-04-27,Kira iOS,804.85,0,0
2026-04-27,Luma,15382.46,5038.7,0
2026-04-27,Romi And,2288.51,165.74,0
2026-04-27,Romi iOS,38514.35,9633.03,0
2026-04-28,Doni,26249.45,2740.74,12878.838
2026-04-28,Dora And,24465.54,3150.57,13066.968
2026-04-28,Dora iOS,48501.06,10920.02,24769.03
2026-04-28,GraceChat,3420.77,895.25,1572.03
2026-04-28,Jovia And,5551.39,471.39,2243.071
2026-04-28,Kira And,5085.71,1034.6,4072.39
2026-04-28,Kira iOS,670.99,0,0
2026-04-28,Luma,13757.35,4252.53,8510.51
2026-04-28,Romi And,2645.26,247.73,400.197
2026-04-28,Romi iOS,33125.5,6458.11,13243.5
2026-04-29,Doni,26132.88,2731.31,11890.09
2026-04-29,Dora And,24872.53,2748.78,13234.868
2026-04-29,Dora iOS,49474.02,11755.68,27425.19
2026-04-29,GraceChat,3574.01,1042.9,1677.18
2026-04-29,Jovia And,5860.01,469.44,1725.013
2026-04-29,Kira And,5824.22,1248.41,4194.31
2026-04-29,Kira iOS,613.17,0,0
2026-04-29,Luma,12868.89,3660.15,7725.18
2026-04-29,Romi And,2795.8,235.72,354.993
2026-04-29,Romi iOS,30114.94,5016.27,12673.54
2026-04-30,Doni,28342.3,2400.79,11670.584
2026-04-30,Dora And,27263.98,3520.72,12748.784
2026-04-30,Dora iOS,49403.42,11050.46,24538.33
2026-04-30,GraceChat,3542.6,565.31,1612.2
2026-04-30,Jovia And,6600.82,498.65,1838.833
2026-04-30,Kira And,6096.76,1168.51,4427.4
2026-04-30,Kira iOS,505.3,0,0
2026-04-30,Luma,14683.82,3067.85,7124.47
2026-04-30,Romi And,3156.1,219.72,442.027
2026-04-30,Romi iOS,32563.13,5989.02,12488.42
2026-05-01,Doni,28776.02,3198.33,12045.92
2026-05-01,Dora And,28591.95,3674.6,13729.3
2026-05-01,Dora iOS,52401.9,11186.94,25444.5
2026-05-01,GraceChat,3333.3,729.37,1736.09
2026-05-01,Jovia And,7421.06,421.4,1822.439
2026-05-01,Kira And,6541.28,1223.55,4714.86
2026-05-01,Kira iOS,710,19.99,0
2026-05-01,Luma,13455.47,2972.84,8665.8
2026-05-01,Romi And,3338.79,432.63,486.765
2026-05-01,Romi iOS,35525.19,6679.43,12984.71
2026-05-02,Doni,30187.13,3445.02,0
2026-05-02,Dora And,27703.5,3945.16,0
2026-05-02,Dora iOS,51332.1,10524.67,0
2026-05-02,GraceChat,3656.75,553.55,0
2026-05-02,Jovia And,7456.94,340.62,0
2026-05-02,Kira And,6365.35,1533.14,0
2026-05-02,Kira iOS,649.28,0,0
2026-05-02,Luma,13706.28,3298.66,0
2026-05-02,Romi And,2830.78,216.67,0
2026-05-02,Romi iOS,34067.41,7282.49,0
2026-05-03,Doni,25878.43,3750.61,14916.666
2026-05-03,Dora And,27878.63,4363.98,17742.467
2026-05-03,Dora iOS,50331.83,12759.44,31112.7
2026-05-03,GraceChat,3596.86,825.25,1952.91
2026-05-03,Jovia And,6591.1,329.55,2457.396
2026-05-03,Kira And,6439.18,1635.86,4243.09
2026-05-03,Kira iOS,358.42,0,0
2026-05-03,Luma,13354.28,3983.03,9189.38
2026-05-03,Romi And,2835.76,187.76,517.62
2026-05-03,Romi iOS,29879.2,6095.57,14198.35
2026-05-04,Doni,25322.8,3331.1,14103.526
2026-05-04,Dora And,27843.16,4602.24,15689.446
2026-05-04,Dora iOS,45802.96,12834.19,27083.67
2026-05-04,GraceChat,3268.6,783.08,1755.43
2026-05-04,Jovia And,5123.43,332.49,2381.466
2026-05-04,Kira And,5496.94,1491.04,3329.28
2026-05-04,Kira iOS,383.53,0,0
2026-05-04,Luma,12614.89,3759.54,8656.97
2026-05-04,Romi And,2189.77,133.82,470.455
2026-05-04,Romi iOS,30096.66,7106.75,14582.14
2026-05-05,Doni,24007.39,3140.15,12763.639
2026-05-05,Dora And,23525.83,3333.41,14455.686
2026-05-05,Dora iOS,43997.49,10331.28,25919.57
2026-05-05,GraceChat,3392.38,996.96,1683.95
2026-05-05,Jovia And,4489.12,100.81,1960.613
2026-05-05,Kira And,4841.19,911.68,3459.44
2026-05-05,Kira iOS,378.47,0,0
2026-05-05,Luma,13496.82,3774.53,8175.94
2026-05-05,Romi And,2283.53,164.73,418.654
