install_date,platform,app_id,campaign,installs,revenue,new_user_revenue,purchase_events
,Facebook Ads,id123,test_campaign,0,9.99,0,1
2025-07-19,tiktokglobal_int,id1658972379,5.25 AEO,0,9.99,0,1
2025-08-26,tiktokglobal_int,id1658972379,7.10 AEO,0,23.979999999999997,0,2
2025-09-11,tiktokglobal_int,id1658972379,7.25 AEO,0,3.99,0,1
2025-09-18,tiktokglobal_int,id1658972379,5.25 AEO,0,39.98,0,2
2025-09-30,tiktokglobal_int,com.doramatch.app,9.24AEOs,1,0,0,0
2025-10-04,tiktokglobal_int,com.doramatch.app,9.28 AEOcyl,0,49.959999999999994,0,4
2025-10-05,tiktokglobal_int,com.doramatch.app,9.24AEOs,1,0,0,0
2025-10-08,tiktokglobal_int,com.doramatch.app,9.24AEOs,1,0,0,0
2025-10-14,tiktokglobal_int,id6746109957,9.26AEOs,0,35.91000000000001,0,9
2025-10-19,tiktokglobal_int,id6746109957,10.13 AEOs smart,0,7.98,0,2
2025-10-20,tiktokglobal_int,com.doramatch.app,9.28 AEOcyl,0,21.96,0,4
2025-10-23,tiktokglobal_int,com.doramatch.app,10.13AEOs smart,1,197.80000000000004,0,20
2025-10-26,tiktokglobal_int,id1658972379,9.3 AEO,0,11.97,0,3
2025-10-28,tiktokglobal_int,com.doramatch.app,10.13AEOs smart,0,319.96,0,4
2025-10-28,tiktokglobal_int,com.doramatch.app,10.9 AEOs smart,0,39.97,0,3
2025-10-29,tiktokglobal_int,com.doramatch.app,10.13AEOs smart,1,0,0,0
2025-10-30,tiktokglobal_int,com.doramatch.app,10.9 AEOs smart,1,29.979999999999997,0,2
2025-10-30,tiktokglobal_int,com.doramatch.app,restricted,1,0,0,0
2025-11-01,tiktokglobal_int,com.doramatch.app,9.24AEOs,0,19.99,0,1
2025-11-02,tiktokglobal_int,com.doramatch.app,9.24AEOs,0,59.980000000000004,0,2
2025-11-02,tiktokglobal_int,id6746109957,9.26AEOs,0,27.930000000000007,0,7
2025-11-03,tiktokglobal_int,com.doramatch.app,restricted,1,0,0,0
2025-11-03,tiktokglobal_int,id1658972379,10.10AEOs smart,0,7.98,0,2
